,tableId,rowIndex,issue_pri,issue_sec
154,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,155,Weed concern_1,Weed concern_1
155,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,156,Weed concern_2,‐‐‐
156,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,157,Weed concern_1,Weed concern_1
157,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,158,Weed concern_1,Weed concern_1
158,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,159,Weed concern_1,Weed concern_1
159,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,160,Weed concern_1,‐‐‐
160,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,161,Weed concern_2,Weed concern_2
161,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,162,Weed concern_1,‐‐‐
162,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,163,Weed concern_2,Weed concern_2
163,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,164,Weed concern_1,Weed concern_1
164,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,165,Weed concern_1,Weed concern_1
165,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,166,Weed concern_1,Weed concern_1
166,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,167,Vegetation establishment_2,‐‐‐
167,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,168,Weed concern_1,Weed concern_1
168,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,169,Compaction,‐‐‐
169,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,170,Subsidence_1,‐‐‐
170,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,171,Subsidence_1,‐‐‐
171,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,172,‐‐‐,Weed concern_1
172,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,173,Vegetation establishment_1,‐‐‐
173,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,174,"Erosion (wind, water)_1",‐‐‐
174,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,175,Vegetation establishment_1,‐‐‐
175,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,176,Contouring_1,‐‐‐
176,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,177,"Erosion (wind, water)_1",‐‐‐
177,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,178,Weed concern_1,Weed concern_1
178,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,179,Weed concern_1,Weed concern_1
179,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,180,Compaction,‐‐‐
180,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,181,"Erosion (wind, water)_1",‐‐‐
181,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,182,Compaction,‐‐‐
182,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,183,"Erosion (wind, water)_1",‐‐‐
183,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,184,Weed concern_1,Weed concern_1
184,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,185,"Erosion (wind, water)_2",‐‐‐
185,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,186,Subsidence_1,‐‐‐
186,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,187,Weed concern_1,Weed concern_1
187,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,188,Subsidence_2,Subsidence_2
188,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,189,Weed concern_2,‐‐‐
189,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,190,Weed concern_1,Weed concern_1
190,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,191,"Erosion (wind, water)_1",‐‐‐
191,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,192,Weed concern_1,Weed concern_1
192,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,193,Vegetation establishment_1,‐‐‐
193,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,194,ESC,‐‐‐
194,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,195,Vegetation establishment_1,‐‐‐
195,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,196,"Erosion (wind, water)_2",‐‐‐
196,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,197,Weed concern_1,Weed concern_1
197,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,198,Weed concern_2,‐‐‐
198,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,199,"Erosion (wind, water)_1",‐‐‐
199,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,200,"Erosion (wind, water)_1",‐‐‐
200,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,201,"Erosion (wind, water)_1",‐‐‐
201,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,202,Weed concern_2,‐‐‐
202,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,203,Site visit,‐‐‐
203,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,204,Subsidence_2,‐‐‐
204,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,205,Weed concern_1,‐‐‐
