Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
9,SW 22-45-14,121.6,EL4-0232.00,Vegetation - Weeds and clubroot disease,"Moderate density of creeping thistle, scentless chamomile, common tansy and wild oats on construction right-of-way.",High density of scentless chamomile and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,STROME LOOP
9 and 10,NW 14-45-14,123.5,EL4-0236.00,Vegetation - Weeds and clubroot disease,"Moderate density of creeping thistle, perennial sow-thistle and stinkweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
9 and 10,NW 14-45-14,124.1,EL4-0236.00,Vegetation - Weeds and clubroot disease,"Moderate density of creeping thistle, perennial sow-thistle and stinkweed on construction right-of-way.","Moderate density of creeping thistle, perennial sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
10,SW 14-45-14,124.1,EL4-0237.00,Vegetation - Weeds and clubroot disease,"Moderate to high density of scentless chamomile, narrow-leaved hawk's-beard, lamb's-quarters, wild buckwheat and foxtail barley on construction right-of-way.",Moderate density of narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
10,SE 14-45-14,124.4,EL4-0238.00,Vegetation - Weeds and clubroot disease,"Moderate to high density of scentless chamomile, narrow-leaved hawk's-beard, lamb's-quarters, creeping thistle and perennial sow-thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,SE 14-45-14,125.3,EL4-0238.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,STROME LOOP
10,NW 12-45-14,125.7 and 126.3,EL4-0240.00,Soils - Compaction,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,NW 12-45-14,125.9 to 126.0,EL4-0240.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,STROME LOOP
10,NW 12-45-14,126.2 to 126.25,EL4-0240.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,STROME LOOP
10,NE 12-45-14,126.7,EL4-0241.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,STROME LOOP
10,NE 12-45-14,126.9 to 127.2,EL4-0241.00,Soils - Problem lower subsoil (saline/sodic),Reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,SW-7-45-13,127.32 to 127. 55,EL4-0243.00,Soils - Compaction,Severe compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,SE 4-45-13,132.0 to 132.2,EL4-0250.00,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,STROME LOOP
10,SW 34-44-13,134.3 to 134.4,EL4-0253.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,SW 34-44-13,134.4 to 134.6,EL4-0253.00,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,SW 34-44-13,134.7 to 134.8,EL4-0253.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,NW 26-44-13,135.3,EL4-0256.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and yellow sweet-clover on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
10,NW 26-44-13,135.37,EL4-0256.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
10,NW 26-44-13,135.59,EL4-0256.00,TSoils - Erosion  Vegetation - Establishment ributary to Iron Creek,Minor erosion from water migrating across construction right-of-way resulting in poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Minor erosion from water migrating across construction right-of-way resulting in poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2012.,,,STROME LOOP
10,SW 25-44-13,136.8 to 137.2,EL4- 0259.00,Vegetation - Weeds,--,Moderate density of creeping thistle on construction right-of-way reported by landowner.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,,STROME LOOP
10,SE 25-44-13,137.7 to 138.3,EL4-0260.00,Soils - Subsidence,Ponding on construction right-of-way.,Moderate subsidence observed on construction right-of-way at KP 138.3 during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,STROME LOOP
10,SE 25-44-13,137.7 to 138.3,EL4-0260.00,Vegetation - Establishment,Poor vegetation establishment due to high cattle activity observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,NE 24-44-13 to  NW 19-44-12,138.5 to 139.2,EL4-0261.00 EL4-0262.00,Soils - Wind Erosion,No erosion observed. Poor vegetation establishment on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,,STROME LOOP
11,NW 19-44-12,138.8,EL4-0262.00,Soils - Contouring,Ponding water observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,SE 19-44-12,140.6,EL4-0264.00,DVegetation - Establishment rainage (tributary to Iron Creek),Issue reported by construction contractor.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,STROME LOOP
11,NE 17-44-12,142.1 to 142.3,EL4-0268.00,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,SW 16-44-12,142.9 to 143.6,EL4-0270.00,Vegetation - Weeds,High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
11,NE 2-44-12,147.9 to 148.5,EL4-0278.02,Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,NW 1-44-12,148.5,EL4-0279.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
11,SE 1-44-12,149.4 to 150.2,EL4-0281.00,"Vegetation - No assessment, not seeded","High density of flixweed, lamb's-quarters and stinkweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,SW 6-44-11,150.2 to 151.0,EL4-0282.00,Vegetation - Weeds and poor grass growth,"Moderate density of wild oats, wild buckwheat and Russian pigweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,SW 6-44-11,150.3,EL4-0282.00,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,STROME LOOP
11,NW 31-43-11,151.1,EL4-0283.00,Vegetation - Weeds and clubroot disease,"Moderate density of yellow sweet-clover, white clover and wild buckwheat.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
11,NE 31-43-11,152.0,EL4-0284.00,Soils - Admixing Vegetation - Crop growth,Minor admixing on construction right-of-way.,Moderate admixing observed on construction right-of-way during ground reconnaissance,--,Unresolved,"Source and add clean topsoil to address admixing, if warranted. Monitor crop growth in 2012.",,,STROME LOOP
11,NE 31-43-11,152.0,EL4-0284.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,NW 28-43-11,154.1,EL4-0289.00,Vegetation - Weeds and clubroot disease,Moderate density of flixweed and dandelion on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,SE 28-43-11,155.91 to 155.97,EL4-0291.00,2Wetland - Class IV 008 Health: healthy with problems (72%),"Health: unhealthy (56%) Weeds: creeping thistle, sow-thistle Riparian: cultivated to edge; willows cleared. Bare ground (vehicle tracks) on construction right-of-way.","Health: Healthy (80%) Weeds: creeping thistle, perennial sow-thistle Riparian: cultivated to edge; willows saplings noted – reduced riparian fringe Increased vegetation densities from 2010.",--,Resolved,None.,,,STROME LOOP
12,SW 27-43-11,156.0 to 157.0,EL4-0292.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
12,SE 27-43-11,157.0,EL4-0293.00,Vegetation - Weeds and clubroot disease,"Moderate density of yellow sweet-clover, creeping thistle and flixweed on construction right-of-way.",Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
12,SE 27-43-11,157.0 to 157.2,EL4-0293.00,Vegetation - Weeds,"Moderate density of yellow sweet-clover, creeping thistle and flixweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,NE 22-43-11,157.25,EL4-0294.00,Soils - Admixing and compaction Vegetation - Crop growth,Moderate compaction on construction right-of-way. No admixing observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,NW 23-43-11,158.3,EL4-0295.00,Vegetation - Moderate crop growth Topography Soils - Water Erosion Soils - Compaction,Minor erosion on construction right-of-way.  No crop growth issues relating to compaction observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,NW 23-43-11,158.3,EL4-0295.00,Topography Soils - Water Erosion Soils - Subsidence,Minor erosion on construction right-of-way. No subsidence observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,SW 23-43-11,158.9,EL4-0296.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
12,SE 23-43-11,159.3,EL4-0297.00,Vegetation - Weeds and clubroot disease,Moderate density of perennial sow-thistle and creeping thistle on construction right-of-way.,Moderate density of perennial sow-thistle and creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
12,SE 23-43-11,159.33 to 159.68,EL4-0297.00,2Wetland - Class IV 008 Health: healthy (88%),"Health: healthy with problems (61%) Weeds: creeping thistle, sow-thistle; excessively weedy Riparian: willows cleared.  Bare ground on construction right-of-way.","Health: Healthy (82%) Weeds: creeping thistle, sow-thistle Riparian: improved vegetation densities at fringe Vegetation establishment on settled crown.",Reseeded in summer 2011.,Resolved,None.,,,STROME LOOP
12,SE 23-43-11,159.8,EL4-0297.00,Vegetation - Weeds and clubroot disease,Moderate density of perennial sow-thistle and creeping thistle on construction right-of-way.,"Moderate density of perennial sow-thistle, creeping thistle and flixweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
12,SW 24-43-11,159.8 to 160.0,EL4-0299.00,Soils - Compaction Vegetation - Crop growth,Moderate compaction on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
12,SW 24-43-11,159.8 to 160.4,EL4-0299.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
12,SW 24-43-11,159.8 to 160.4,EL4-0299.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,STROME LOOP
12,NE 13-43-11,161.6,EL4-0301.00,Vegetation - Weeds and clubroot disease,"Moderate density of flixweed, wild buckwheat, lamb's-quarters and wild oats on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
