Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
71,NW 4-9-24,999.7 to 1000.5,4062,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
71,NW 3-9-24,1001.3,4063,Vegetation - Rare Plants,No plants observed.,No plants observed.,--,Unresolved,Monitor in 2012.,,,
71,NW 3-9-24,1001.3 to 1001.7,4063,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
71,SE 3-9-24,1002.3 to 1003.1,4065,Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, lamb’s-quarters, false ragweed and redroot pigweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,SE 3-9-24,1003.1,4065,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
71,NW 35-8-24,1003.85,4067,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
71,NW 35-8-24,1004.0,4067,Vegetation - Weeds,"High density of spear-leaved goosefoot, Russian thistle, false ragweed, lamb’s-quarters, green foxtail and black medick on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,NE 35-8-24,1004.9,4068,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
71,NW 36-8-24,1004.9 to 1005.7,4069,Vegetation - Weeds,"Moderate density of creeping thistle, false ragweed, dandelion, perennial sow-thistle, bluebur and green foxtail observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,SE 31-8-23,1007.5,4071,Vegetation - Weeds,"Moderate density of barnyard grass, false ragweed, Canada fleabane, foxtail barley, field dock and green foxtail on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
