Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
78,SE 31-6-13,1109.4 to 1110.0,4201,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,"SW 32, NW/ NE 29-6-13",1110.33 to 1110.83,4201.01,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (91%),"Health: healthy with problems (61%). Weeds: creeping thistle, perennial sow-thistle. Elevated trench crown (approx. 10-40 cm). Undesirable species dominant on construction right-of-way Bare ground on construction right-of-way","Health: Healthy with Problems (67%) Weeds: annual sow-thistle, creeping thistle, lamb’s-quarters Disturbance and weedy species observed along construction right-of-way Disturbance due to cattle utilization",--,Unresolved,Monitor in 2012.,,,
78,SW 32-6-13,1110.0 to 1111.0,4202.01,Vegetation - Weeds,"High density of field dock, creeping thistle, perennial sow-thistle, dandelion and false ragweed observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
78,NW 28-6-13,1111.9 to 1112.7,4203,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Unresolved,Monitor in 2012.,,,
78,NE 28-6-13,1112.7 to 1113.0,4204,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2012.,,,
78,NE/SE 28-6-13,1112.78 to 1113.12,4204 4205,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (82%),Health: Healthy with Problems (63%).  Undesirable species dominant on construction right-of-way. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (70%) Weeds: common burdock, annual sow-thistle, kochia, lamb’s-quarters Disturbance and weedy species observed along construction right-of-way",--,Unresolved,Monitor in 2012.,,,
78,SE 28-6-13,1113.0 to 1113.6,4205,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SW 27-6-13,1113.6 to 1114.5,4206,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,SW 27-6-13,1113.6 to 1114.4,4206,Vegetation - Weeds,"Moderate density of kochia, Russian thistle, spear-leaved goosefoot and false ragweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SW 27-6-13,1113.6 to 1113.75,4206,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SE 27-6-13,1114.5 to 1115.1,4207,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,NE 22-6-13,1115.35,4208,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,NW 24-6-13,1117.2 to 1117.4,4211,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,SE 24-6-13,1118.1 to 1118.4,4213,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SW 19-6-12,1119.0 to 1119.3,4214,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SW 19-6-12,1119.0 to 1119.5,4214,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SW 19-6-12,1119.5,4214,Vegetation - Weeds,"Moderate density of redroot pigweed, kochia, perennial sow-thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010.,Resolved,None.,,,
79,NW 18-6-12,1119.6 to 1119.8,4215,LVegetation - Weeds and and Resource Use - organic farm,"Moderate density of creeping thistle, white cockle, stinkweed and false ragweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NE 18-6-12,1119.8 to 1120.3,4216,Vegetation - Weeds,"Moderate density of stinkweed, spear-leaved goosefoot and common plantain on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Weeds mowed in 2010.,Resolved,None.,,,
79,NE 18-6-12,1119.8 to 1120.3,4216,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,
79,NE 18-6-12,1120 to 1120.1,4216,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,NE 18-6-12,1120.1,4216,CSoils – Erosion Water Quality and Quantity ypress River,"Poor vegetation establishment on both banks. Minor rill erosion, slumping and unstable slopes on both banks. Approximately 50 to 70% willow success rate on both banks.",Poor vegetation establishment observed on west bank on construction right-of-way during ground reconnaissance.,Willows planted and area reseeded in fall 2011.,Unresolved,Monitor in 2012.,,,
79,NE 18-6-12,1120.25 to 1120.7,4216,Soils - Erosion,Gully erosion and reduced crop growth on down slopes of undulating topography on construction right-of-way observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NE 18-6-12,1120.25 to 1120.7,4216,Soils - Topsoil Loss,Severe topsoil loss on down slopes of undulating topography on construction right-of-way observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 17-6-12,1120.7 to 1121.6,4217,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
79,NW 17-6-12,1120.7,4217,Soils - Erosion,Issue reported by construction contractor.,Gully erosion observed on the construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Unresolved,Repair erosion and monitor in 2012.,,,
79,NE 17-6-12,1121.6 to 1121.8,4217.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
79,SE 17-6-12,1121.8 to 1122.4,4218,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,SW 16-6-12,1122.5,4219,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,SE 16-6-12,1123.4 to 1123.7,4220,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NE 9-6-12,1123.8 to 1124.2,4221,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
79,NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,GTopography Soils - Water Erosion rass waterway,Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,Soils - Admixing,Moderate to severe admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NE 10-6-12 (cont’d),1125.3 to 1125.4 (cont’d),4222.01 (cont’d),Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Vegetation - Establishment  Moderate vegetation establishment,observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,GTopography Soils - Water Erosion rass waterway,Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Soils - Admixing,Moderate to severe admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Landscape - Coarse Fragments,Increased stoniness observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Soils - Admixing,Moderate to severe admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Vegetation - Weeds,"Moderate density of green foxtail, redroot pigweed and spear-leaved goosefoot on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SW 11-6-12,1126.2 to 1126.9,4223,Vegetation - Weeds,"Moderate density of green foxtail, tumbling mustard, white cockle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,Reseeded by landowner in 2010.,Resolved,None.,,,
79,SW 11-6-12,1126.2 to 1126.9,4223,Soils - Erosion,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded by landowner in 2010.,Resolved,None.,,,
79,SW 11-6-12,1126.2 to 1126.9,4223,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
79,NW 2-6-12,1127.0,4224,Soils - Drainage,Issue reported by construction contractor.,Rutting observed on construction right-of-way through drainage during ground reconnaissance.,--,Unresolved,Repair rutting and monitor in 2012.,,,
79,NE 2-6-12,1127.2 to 1127.4,4225,Soils - Erosion,Poor vegetation establishment and rill erosion observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,SE 1-6-12,1129.0 to 1129.9,4228,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
79,SE 6-6-11,1130.9,4230,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 31-5-11,1131.3 to 1131.5,4231,CTopography – Slopes Soils - Water Erosion and Sloughing Water Quality and Quantity ypress River,"Poor vegetation establishment on construction right-of-way at west bank. Area is highly disturbed by cattle. East bank of construction right-of-way crossing is unstable. No trees were observed on the west slope, likely due to cattle traffic.",Poor vegetation establishment observed on west bank and approach slope on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way at crossing.,Slopes repaired and reseeded in fall 2011.,Unresolved,Monitor in 2012.,,,
80,NE 31-5-11,1131.1,4231,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
80,NW 32-5-11,1131.7 to 1132.6,4232,Landscape - Coarse Fragments,Excessive woody debris observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NW 32-5-11,1131.7 to 1132.6,4232,Vegetation - Weeds,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Weeds sprayed by landowner in 2010.,Resolved,None.,,,
80,NE 32-5-11,1132.7 to 1133.0,4233,Topography - Slopes Soils - Compaction and Erosion,Minor compaction on construction right-of-way. No erosion observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 32-5-11,1132.7 to 1133.0,4233,Devos hillside - Erosion,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 32-5-11,1132.7 to 1133.0,4233,Landscape - Coarse Fragments,Excessive woody debris observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Soils - Admixing,Severe admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,SW 33-5-11,1133.5 to 1134.5,4234,Soils - Admixing,Severe admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 28-5-11,1134.8 to 1135.4,4236,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
80,SE 27-5-11,1136.7 to 1137.2,4238.01,Soils - Previous Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,SW 26-5-11,1137.5 to 1137.75,4239,Soils - Compaction,Severe compaction causing poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 23-5-11,1138.3 to 1139.1,4241,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
80,NW 24-5-11,1139.1 to 1140.0,4241.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
80,NW 24-5-11,1139.9,4241.01 4241.02,UTopography – Slopes Soils - Wind and Water Erosion Water Quality and Quantity nnamed Drainage,Silt fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly recontoured and sediment has entered the drainage.,Moderate vegetation establishment on construction right-of-way at west bank. Heavy cattle traffic on construction right-of-way at crossing.,Area repaired and reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,
80,NW 24-5-11,1139.9,4241.01 4241.02,UVegetation - Weeds nnamed Drainage,"High density of false ragweed, creeping thistle, stinkweed and perennial sow-thistle observed on both sides of the drainage during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,SW 19-5-10,1140.95 to 1141.3,4244,ITopography – Slopes Soils - Water Erosion  Water Quality and Quantity ntermittent Creek,Rill and gully erosion on both the west and east slopes. Soil berms on the east slope have failed creating gullies down the slope.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Area repaired, protected and reseeded in summer 2011.",Unresolved,Monitor grass growth in 2012.,,,
80,SW 19-5-10,1140.95 to 1141.8,4244,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
80,SE 19-5-10,1141.8 to 1142.25,4244.01,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
80,SE 19-5-10,1142.0 to 1142.1,4244.01,Vegetation - Weeds,Moderate density of creeping thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 18-5-10,1142.25 to 1142.7,4245,Vegetation - Weeds,"Moderate density of cleavers, Russian thistle, white cockle and perennial sow-thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NW 17-5-10,1143.0,4246,Vegetation - Crop Growth,Reduced crop growth observed within the drainage on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NW 17-5-10,1143.1,4246,Vegetation - Crop Growth,Reduced crop growth observed within the drainage on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NE 17-5-10,1143.6 to 1144.2,4247,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
81,SE 17-5-10,1144.2 to 1144.5,4247.01,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
81,SE 17-5-10,1144.4,4247.01,Soils - Previous Admixing and Compaction,Reduced crop growth and minor compaction close to valve site on construction right-of-way. No admixing observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NE 9-5-10,1146.2 to 1146.4,4250,Soils - Admixing and Compaction,Minor admixing on construction right-of-way. No compaction observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NE 9-5-10,1146.2 to 1146.4,4250,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Soils – Compaction,Minor compaction on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Soils – Erosion,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Erosion repaired by landowner in 2010.,Resolved,None.,,,
81,SE 10-5-10,1148.1,4253,Soils - Admixing,Moderate admixing on hill tops on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,SE 11-5-10,1149.6 to 1149.8,4255,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,
81,NE 1-5-10,1151.0 to 1151.5,4257,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
81,NE 1-5-10,1151.3,4257,Water Quality and Quantity - Field Drain,Fallow land at the time of the ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,SE 1-5-10,1151.5 to 1151.7,4258,Soils - Admixing,Reduced crop growth and moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,SE 1-5-10,1151.5 to 1151.9,4258,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired by landowner in 2010.,Resolved,None.,,,
81 (cont’d),SE 1-5-10 (cont’d),1151.9 to 1151.95,4271,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: No baseline assessment completed,"Health: Healthy with problems (73%) Weeds: perennial sow-thistle, creeping thistle, smooth brome, sweet clover Riparian: woody vegetation removed Bare ground on construction right-of-way","Health: Healthy (94%) No baseline assessment was completed, however, this wetland is determined to be Resolved because the post-construction health ranking was in the optimal Healthy category",--,Resolved,None.,,,
81,SW 6-5-9,1151.9 to 1152.8,4259,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
81,NE 31-4-9,1153.55 to 1153.7,4261,Vegetation - Weeds,"High density of nodding thistle, spear-leaved goosefoot, perennial sow-thistle, false ragweed and shepherd’s purse on and off construction right-of-way.","Moderate density of foxtail barley, nodding thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
81,NE 31-4-9,1153.55 to 1153.7,4261,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired by landowner in 2010.,Resolved,None.,,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Compaction,Moderate compaction on trench line and south work side on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Rutting,Rutting on trench line and south work side on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Topsoil Loss,Topsoil loss observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
81,NE 28-4-9,1157.0 to 1157.5,4267.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired by landowner in 2010.,Resolved,None.,,,
82,NW 18-4-8,1163.6 to 1164.1,4277,Soils - Compaction,Moderate compaction on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NW 18-4-8,1163.6 to 1164.1,4277,Soils - Admixing,Moderate admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Soils - Compaction,Minor compaction on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Vegetation - Weeds,"High density of perennial sow-thistle, shepherd’s purse, green smartweed, Russian pigweed, spear-leaved goosefoot and pineapple-weed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NW 17-4-8,1165.0 to 1165.4,4279,Soils - Compaction and Admixing,Minor admixing on construction right-of-way. No compaction observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NW 17-4-8,1165.0 to 1165.4,4279,Vegetation - Weeds,"Moderate density of creeping thistle, spear-leaved goosefoot and Russian pigweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,NW 17-4-8,1165.1,4279,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
82,SW 17-4-8,1165.4 to 1165.95,4279.02,Soils - Compaction and Admixing,Minor admixing on construction right-of-way. No compaction observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SW 17-4-8,1165.4 to 1165.95,4279.02,Vegetation - Weeds,"Moderate density field dock, spear-leaved goosefoot, creeping thistle, green smartweed and stinkweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SE 17-4-8,1166.0 to 1166.9,4280,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SE 17-4-8,1166.0 to 1166.9,4280,Land and Resource Use - Certified/Registered Seed Grower Vegetation - Weeds,"Moderate density shepherd’s purse, spear-leaved goosefoot, stinkweed and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Soils - Compaction,Minor compaction on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Soils – Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Vegetation - Weeds,"Moderate to high density spear-leaved goosefoot, prostrate pigweed and field dock observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired by landowner in 2010.,Resolved,None.,,,
82,NW 9-4-8,1167.4 to 1167.8,4282.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
82,NE 2-4-8,1172.35,4290,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
83,SW 6-4-7,1174.3 and 1174.8,4294,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
83,NW 31-3-7,1174.9 to 1175.2,4295,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
83,NE 31-3-7,1175.8,4295.01,Unnamed drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
83,NE 31-3-7,1175.2 to 1176.1,4295.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
83,NE 31-3-7,1175.2 to 1176.1,4295.01,Vegetation - Weeds,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
83,W1/2 32-3-7,1176.1 to 1177.0,4296  4296.1,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
