Legal Land Description,KPC,Issue/Condition,Notes,Recommendation(s),VEC,GIS,Topic
94I-13-I73,31.56,Low vegetation establishment,"Vegetation on the right-of-way, from KP 26.3 to KP 39.4 particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-13-I73,31.56,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-13-I72,31.70,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-13-I72,31.70,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-13-I62,32.75,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-13-I62,32.75,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-13-I61,32.90,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-13-I61,32.90,Weeds,A few scentless chamomile plants were observed at KP 33.0 and removed from the right-of-way by hand-pulling.,"Monitor vegetation establishment and weeds and if warranted, implement weed control measures in 2014.",,,
94I-13-I61,32.90,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-13-I61,32.90,Rare plant,Three Western Jacob’s ladder plants observed at KP 33.0.,Resolved and successful.,,,
94I-13-I51,33.91,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-13-I51,33.91,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L60,34.05,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L60,34.05,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L50,35.0,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L50,35.0,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L50,35.0,Treed swamp1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L40,35.91,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L40,35.91,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L40,35.91,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L40,35.91,Rare plant,There were 50-100 Western Jacob’s ladder plants observed at KP 36.3.,Resolved and successful.,,,
94I-14-L40,35.91,Rare plant,No Iowa golden-saxifrage plants observed at KP 36.3.,Unresolved. Revisit in 2015.,,,
94I-14-L30,36.84,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L30,36.84,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L20,37.75,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L20,37.75,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L19,38.55,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L19,38.55,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L19,38.55,Rare plant,There were three Western Jacob’s ladder plants observed at KP 38.9.,Resolved and successful.,,,
94I-14-L9,39.15,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L9,39.15,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L8,39.45,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-L8,39.45,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-L7,40.62,Peat-accumulating marsh1,Natural ponding is occurring on the right-of-way due to beaver activity. Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E97,40.75,Peat-accumulating marsh1,Natural ponding is occurring on the right-of-way due to beaver activity. Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E87,41.70,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E86,42.64,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E76,42.80,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E76,42.80,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E76,42.80,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E66,43.81,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E66,43.81,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E66,43.81,Rare plants,Eight Western Jacob’s ladder plants observed at KP 44.3. Three European water hemlocks observed at KP 44.4.,Resolved and successful.,,,
94I-14-E56,44.75,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E56,44.75,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E56,44.75,Shrubby fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E55,45.65,Shrubby fen1,Natural ponding is occurring on the right-of-way due to beaver activity. Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E45,45.82,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E45,45.82,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E45,45.82,Rare plant,No bog adder’s mouth plants were observed at KP 46.2.,Unresolved. Revisit in 2015.,,,
94I-14-E45,45.82,Rare plant,There were 10-20 Western Jacob’s ladder plants observed at KP 46.2.,Resolved and successful.,,,
94I-14-E34,46.90,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E34,46.90,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E34,46.90,Peat-accumulating marsh1,Natural ponding is occurring on the right-of-way due to beaver activity. Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E34,46.90,Rare plant,Jack pine tree at KP 47.3 was removed during construction.,Resolved unsuccessful.,,,
94I-14-E34,46.90,Rare plant,There were 10-20 Western Jacob’s ladder observed at KP 47.5 to KP 47.6.,Resolved and successful.,,,
94I-14-E24,48.03,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E24,48.03,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E23,48.18,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E23,48.18,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E22,49.14,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-E22,49.14,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E22,49.14,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-E11,50.06,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years (see Plate 7).",Monitor vegetation establishment in 2014.,,,
94I-14-E11,50.06,Watercourse crossing: Lichen Creek,Rill erosion was observed on the north bank of the creek at KP 50.6. Sediment fencing and matting is preventing sediment from entering the watercourse.,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,,,
94I-14-E11,50.06,Peat-accumulating marsh1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-F20,51.20,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-F20,51.20,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-F10,51.54,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-F10,51.54,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-F10,51.54,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-F9,52.18,Moderate vegetation establishment,"Vegetation on the right-of-way particularly over the trench line, has not yet established.",Monitor vegetation establishment in 2014.,,,
94I-14-F9,52.18,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94I-14-F8,52.99,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94I-14-C98,53.34,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
