Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Soils - Erosion,"Straw crimping is thick in several areas, impeding vegetation establishment, but is successful in limiting erosion.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NE 33-7-19,LC 1.0 to LC 1.8,4124,Soils - Erosion Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on construction right-of-way. No soil erosion issues observed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NE 33-7-19,LC 1.8,4124,Vegetation - Weeds,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Vegetation - Weeds,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of creeping thistle, spear-leaved goosefoot, narrow-leaved hawk’s-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,WPM,
74,NW 34-7-19,LC 2.65 to LC 2.74,4125,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (69%),"Health: Unhealthy (38%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Riparian: woody vegetation removed. Landowner has cultivated wetland margins. Heavily disturbed by cattle.",Health: Healthy with Problems (79%),Creeping thistle patches located in corner of fenced construction right-of-way but not within wetland margins. No remedial action due to organic farm.,Resolved,None.,,WPM,
74,NE 34-7-19,LC 2.9 to 1053.7,4126,Vegetation - Weeds,"Moderate density of lamb’s-quarters, false ragweed, field dock, green foxtail, creeping thistle and volunteer canola on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Weeds,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,NW 35-7-19,1054.3,4127.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
74,NE 35-7-19,1054.5 to 1055.4,4127.02,Vegetation - Weeds,"Moderate density of perennial sow-thistle, wild oats, spear-leaved goosefoot, field dock, redroot pigweed, Russian thistle, white cockle and dandelion observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
74,W1/2 36-7-19,1055.8,4128,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on construction right-of-way.","Moderate density of foxtail barley, field dock, creeping thistle and narrow-leaved hawk’s- beard observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
75,SE 36-7-19,1056.3 to 1057.0,4129 4130,Soils - Erosion,Hay land recently tilled on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,SE 36-7-19,1056.3 to 1057.0,4129 4130,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
75,SW 31-7-18,1057.0 to 1057.8,4131,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,SE 31-7-18,1058.60 to 1058.70,4132,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (93%),Health: Healthy with Problems (72%).  Bare ground on construction right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (77%) Weeds: perennial sow-thistle, creeping thistle Disturbance and weedy species observed along construction right-of-way Landowner has cultivated wetland margins",Completed seeding of restored washout area with skid steer. Repair of washout with small dozer. Seeding of berm on east edge of field to prevent further rill erosion. Inspection in 2012 for vegetation establishment.,Unresolved,Monitor in 2012.,,WPM,
75,SW 32-7-18,1058.75,4133,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
75,NE 28-7-18,1061.2 to 1062.0,4137,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,NW 27-7-18,1062.0 to 1062.8,4138,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
75,NW 26-7-18,1063.7 to 1063.95,4140 4140.01,Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of redroot pigweed, wild buckwheat, perennial sow-thistle, creeping thistle, stinkweed, green smartweed and spear-leaved goosefoot on construction right-of-way.",Moderate density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
75,NW 26-7-18,1064.1 to 1064.6,4141 4142,Vegetation - Weeds Land and Resource Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on construction right-of-way.",Moderate density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
75,NE 26-7-18,1064.6 to 1065.4,4142,Vegetation - Weeds Land and Resource Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,NE 26-7-18,1064.6 to 1065.4,4142,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
75,NE 26-7-18,1064.6 to 1064.8,4142,Soils - Subsidence,--,Moderate subsidence observed on the construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,WPM,
75,SW 25-7-18,1065.8,4143,BSoils - Water Erosion Water Quality and Quantity Fish and Fish Habitat lack Creek,Poor vegetation establishment on west bank and silt fences damaged.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,WPM,
75,SW 25-7-18,1065.8,4143,BVegetation – Weeds lack Creek,--,"Moderate density of creeping thistle, narrow-leaved hawk's-beard and foxtail barley observed on north bank during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
75,SW 25-7-18,1065.85 to 1066.2,4143,Vegetation - Weeds,"Moderate density of false ragweed, spear-leaved goosefoot, foxtail barley and white cockle on construction right-of-way.","Moderate density of foxtail barley, hemp nettle, narrow-leaved hawk’s-beard and creeping thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
75,SE 30-7-17,1067.9 to 1068.4 and 1068.7,4145,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
75,SE 30-7-17,1068.0 to 1068.7,4144 4145,Vegetation - Weeds,"Moderate density of lamb’s-quarters, spear-leaved goosefoot, false ragweed and Russian thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,SW 29-7-17,1068.7 to 1069.6,4145.01 4146,Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, wild buckwheat, kochia, redroot pigweed, white cockle, stinkweed and green smartweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
