tableId,rowIndex,locNo,landuseId
1a015685-b171-4200-81f5-61a4886e1918,11,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,1,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,17,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,18,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,19,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,20,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,21,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,26,1,16
333e1e53-8897-41fa-acbd-86be8afb31c7,27,1,16
35bd2caf-562c-4d14-a5d6-373f168b4acb,9,1,16
35bd2caf-562c-4d14-a5d6-373f168b4acb,21,1,16
35bd2caf-562c-4d14-a5d6-373f168b4acb,35,1,16
35bd2caf-562c-4d14-a5d6-373f168b4acb,36,1,16
35bd2caf-562c-4d14-a5d6-373f168b4acb,37,1,16
397db969-9996-4d9e-bb05-6df69d0fe4a4,1,1,16
397db969-9996-4d9e-bb05-6df69d0fe4a4,24,1,16
397db969-9996-4d9e-bb05-6df69d0fe4a4,25,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,1,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,2,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,4,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,31,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,32,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,33,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,79,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,80,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,81,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,82,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,83,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,84,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,85,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,86,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,87,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,88,1,16
3e9e6cdb-f812-4832-b69c-b8ec0396d585,89,1,16
417546c4-dacf-4c12-ae75-4dc4e656e198,24,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,6,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,7,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,57,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,58,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,59,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,60,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,61,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,62,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,63,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,64,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,65,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,81,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,82,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,83,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,84,1,16
4274c27b-ab24-4b6e-b72d-2c52e276758f,85,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,1,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,2,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,3,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,4,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,5,1,16
47af05b7-0b36-4e0c-a007-3f3a66f0b595,6,1,16
491c36c1-82d4-46ae-a684-470915a5659b,4,1,16
491c36c1-82d4-46ae-a684-470915a5659b,5,1,16
491c36c1-82d4-46ae-a684-470915a5659b,6,1,16
60b3993d-7075-4790-8519-ba8193579754,58,1,16
60b3993d-7075-4790-8519-ba8193579754,59,1,16
60b3993d-7075-4790-8519-ba8193579754,71,1,16
60b3993d-7075-4790-8519-ba8193579754,72,1,16
60b3993d-7075-4790-8519-ba8193579754,73,1,16
60b3993d-7075-4790-8519-ba8193579754,106,1,16
60b3993d-7075-4790-8519-ba8193579754,107,1,16
60b3993d-7075-4790-8519-ba8193579754,108,1,16
60b3993d-7075-4790-8519-ba8193579754,109,1,16
60b3993d-7075-4790-8519-ba8193579754,110,1,16
60b3993d-7075-4790-8519-ba8193579754,111,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,1,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,2,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,3,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,73,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,74,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,75,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,76,1,16
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,110,1,16
6b437f67-967b-4ef6-bd28-5ac8d39138e4,1,1,16
6b437f67-967b-4ef6-bd28-5ac8d39138e4,2,1,16
6b437f67-967b-4ef6-bd28-5ac8d39138e4,3,1,16
8bb683d9-f7ee-4a54-ad3d-dddc61ccdfcf,1,1,16
8bb683d9-f7ee-4a54-ad3d-dddc61ccdfcf,2,1,16
8bb683d9-f7ee-4a54-ad3d-dddc61ccdfcf,3,1,16
8bb683d9-f7ee-4a54-ad3d-dddc61ccdfcf,4,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,23,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,70,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,71,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,74,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,75,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,76,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,78,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,87,1,16
9476acc2-294a-4cd6-a952-8274aedb645a,91,1,16
