,pdfId,pdfName,pdfURL,pdfSubmitter,ApplicationTitle,ApplicationTitleShort,ApplicationLink
126,2411479,Tanghe Creek Lateral Loop No. 2 - Sloat Creek Section-Condition 9 First PCMP Report - A3T5G7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411479,NOVA Gas Transmission Ltd.,2011-02-03 - Application for the Tanghe Creek Lateral Loop No. 2 (Sloat Creek Section),Application for the Tanghe Creek Lateral Loop No. 2 ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/667071
127,2411484,North Maxhamish Loop Post-Construction Environmental Monitoring Report - A3T5K4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411484,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",2009-04-21 - Application for the North Maxhamish Loop Project,Application for the North Maxhamish Loop Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/554349
128,2411486,N4 Loop PCEM Report - A3T5K7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411486,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",2010-11-30 - Application for the Transmission North Expansion,Application for the Transmission North Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/656096
129,2411566,Appendix B-Nose YEAR 1 PCMP FINAL - A3T4Q7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411566,NOVA Gas Transmission Ltd.,2011-02-25 - Application for the Grande Prairie Mainline Loop (Karr North and Nosehill Creek Sections),Application for the Grande Prairie Mainline Loop ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/673726
130,2411779,6873_Year 1 PCEM Pembina Beatton River - A3T4K3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411779,Pembina Energy Services Inc.,2012-08-29 - Application to Deactivate a section of the Beatton River Pipeline - LSD 12-19-83-16 W6M to LSD 11-17-84-15 W6M,Application to Deactivate a section of the Beatton River Pipeline - LSD 12-19-83-16 W6M to LSD 11-17-84-15 W6M,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/858743
131,2411783,Appendix A-Karr YEAR 1 PCMP FINAL 1of4 - A3T4Q3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411783,NOVA Gas Transmission Ltd.,2011-02-25 - Application for the Grande Prairie Mainline Loop (Karr North and Nosehill Creek Sections),Application for the Grande Prairie Mainline Loop ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/673726
132,2411908,T-North 2012 Expansion Project Post-Construction Monitoring Report - A3T5D7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411908,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",2011-11-14 - Application for T-North 2012 Expansion Project,Application for T-North 2012 Expansion Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/757939
133,2411910,2014-01-31- Cheecham Kettle River First PCMP Report Part 1 - A3T5F2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411910,NOVA Gas Transmission Ltd.,2011-06-23 - Application for Cheecham - Kettle River Area Expansion,Application for Cheecham - Kettle River Area Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/698977
134,2412032,NGTL Gordondale Lateral Loop No. 2 PCEM Report - A3T5G1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2412032,NOVA Gas Transmission Ltd.,2010-12-07 - Application for the Gordondale Lateral Loop No. 2,Application for the Gordondale Lateral Loop No. 2,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/659448
135,2487348,Horn_River_YEAR_1_PCMP_1of6 - A3Z6F0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2487348,NOVA Gas Transmission Ltd.,2010-02-19 – Application for the Horn River Project (GH-2-2010),Application for the Horn River Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/601085
