,tableId,rowIndex,vec_pri,vec_sec,status_bin,status,status_txt,issue_pri,issue_sec,company,monitoring_year,consultantName,application_title_short,word2vec_vec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,VECassigned
23,0c200808-9563-467f-b74f-2d4b73c53fc4,51,Vegetation - weeds,High densities of noxious weeds were observed within the wetland.,U,Unresolved,Hand pull weeds and monitor in 2019.,Vegetation - weeds,High densities of noxious weeds were observed within the wetland.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
24,0c200808-9563-467f-b74f-2d4b73c53fc4,52,Landscape - contouring,Wetland has established well. Contouring is not affecting wetland recovery.,R,Resolved,None.,Landscape - contouring,Wetland has established well. Contouring is not affecting wetland recovery.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
25,0c200808-9563-467f-b74f-2d4b73c53fc4,54,Vegetation – weeds,High weed growth observed along the edge and within the wetland.,U,Unresolved,Hand pullmonitor in 2019.,Vegetation – weeds,High weed growth observed along the edge and within the wetland.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
26,0c200808-9563-467f-b74f-2d4b73c53fc4,56,Landscape – subsidence,The borehole location at KP 21.500 appears to be in a mapped wetland. Subsidence was not observed at the time of the assessment.,U,Unresolved,Verify the location subsidence was observed and monitor in 2019 if warranted.,Landscape – subsidence,The borehole location at KP 21.500 appears to be in a mapped wetland. Subsidence was not observed at the time of the assessment.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
27,0c200808-9563-467f-b74f-2d4b73c53fc4,57,Vegetation - - weeds,Density and distribution of weed species were equal on and off ROW.  Scentless chamomile was not observed at the time of assessment.,R,Resolved,None.,Vegetation - - weeds,Density and distribution of weed species were equal on and off ROW.  Scentless chamomile was not observed at the time of assessment.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
28,0c200808-9563-467f-b74f-2d4b73c53fc4,58,Vegetation - weeds,Wetland has established well.  Some impacts due to grazing.,R,Resolved,None.,Vegetation - weeds,Wetland has established well.  Some impacts due to grazing.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
29,0c200808-9563-467f-b74f-2d4b73c53fc4,60,Vegetation - weeds,High densities of white cockle and Canada thistle were observed on the ROW compared to off ROW conditions. Alfalfa establishment looks good.,U,Unresolved,Spot spray weeds as required and monitor in 2019.,Vegetation - weeds,High densities of white cockle and Canada thistle were observed on the ROW compared to off ROW conditions. Alfalfa establishment looks good.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
30,0c200808-9563-467f-b74f-2d4b73c53fc4,62,Vegetation - weeds,Higher density of perennial sow thistle and white cockle observed on ROW when compared to off ROW between KP 23.150 to KP 23.290.,U,Unresolved,Control weeds as required and monitor in 2019.,Vegetation - weeds,Higher density of perennial sow thistle and white cockle observed on ROW when compared to off ROW between KP 23.150 to KP 23.290.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
31,0c200808-9563-467f-b74f-2d4b73c53fc4,63,Landscape – subsidence,A low area was observed over the ETH trench at KP 23.144 to KP 23.189.  Another low area was observed over Line 2 trench at the wetland and fence boundary at KP 23.055. Wetland crew assessed area and did not observe any issues or ponded water. Field crews spoke with landowner. He indicated that an Enbridge representative was visiting that week to discuss subsidence issue.,U,Unresolved,"Confirm the exact location of subsidence. Provide UTM coordinates for field crews to assess in 2019. Repair if warranted. If repair work is required, schedule repairs when feasible.",Landscape – subsidence,A low area was observed over the ETH trench at KP 23.144 to KP 23.189.  Another low area was observed over Line 2 trench at the wetland and fence boundary at KP 23.055. Wetland crew assessed area and did not observe any issues or ponded water. Field crews spoke with landowner. He indicated that an Enbridge representative was visiting that week to discuss subsidence issue.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
32,0c200808-9563-467f-b74f-2d4b73c53fc4,65,Vegetation - weeds,"Patches of absinthe wormwood, Canada thistle and white cockle on the ROW. Most weeds were distributed along Line 2.  Vegetation has established well.",U,Unresolved,Spot spray weeds as required and monitor in 2019.,Vegetation - weeds,"Patches of absinthe wormwood, Canada thistle and white cockle on the ROW. Most weeds were distributed along Line 2.  Vegetation has established well.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
33,0c200808-9563-467f-b74f-2d4b73c53fc4,67,Vegetation - establishment,"White cockle was observed in low densities on the ROW. However, high densities on adjacent Enbridge ROW were observed.  Vegetation has established well",U,Unresolved,"Control weeds on ROW as well as adjacent ROW to avoid further encroachment. Monitor in 2019. If spot spraying is not permitted mechanical control (that is, mowing) or handpicking may be required.",Vegetation - establishment,"White cockle was observed in low densities on the ROW. However, high densities on adjacent Enbridge ROW were observed.  Vegetation has established well",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
34,0c200808-9563-467f-b74f-2d4b73c53fc4,71,Vegetation - weeds,Higher densities of white cockle were observed on adjacent Enbridge ROW. Some encroaching on ETH ROW.,R,Resolved,"This issue is resolved for ETH and Line 2; however, weeds should be controlled on adjacent Enbridge ROW to avoid encroachment.",Vegetation - weeds,Higher densities of white cockle were observed on adjacent Enbridge ROW. Some encroaching on ETH ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
35,0c200808-9563-467f-b74f-2d4b73c53fc4,72,Vegetation - weeds,Higher densities of white cockle and perennial sow thistle were observed on the ROW.,U,Unresolved,Control weeds and monitor in 2019.,Vegetation - weeds,Higher densities of white cockle and perennial sow thistle were observed on the ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
36,0c200808-9563-467f-b74f-2d4b73c53fc4,75,Vegetation – weeds and establishment,High densities of white cockle and Canada thistle were observed in low areas at KPs 26.371 and KP 26.440. Weeds are outcompeting vegetation.,U,Unresolved,Reseed and monitor for weed regrowth and vegetation establishment in 2019.,Vegetation – weeds and establishment,High densities of white cockle and Canada thistle were observed in low areas at KPs 26.371 and KP 26.440. Weeds are outcompeting vegetation.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,3,0,0,0,0,0,0,0,0,0,0,vegetation
